번호,제목,사건번호,선고일자,참조조문,조문번호,판시사항
27,특정범죄가중처벌등에관한법률위반(위험운전치사상)·도로교통법위반(음주운전)·도로교통법위반·도로교통법위반(무면허운전),2009도10845,2010. 1. 14.,도로교통법,"제148조의2, 제151조, 제152조","[1] 특정범죄가중처벌 등에 관한 법률상 ‘위험운전치사상죄’와 도로교통법상 ‘업무상과실 재물손괴죄’의 죄수관계(=상상적 경합)
[2] 자동차 운전면허 없이 술에 취하여 정상적인 운전이 곤란한 상태에서 차량을 운전하던 중 전방에 신호대기로 정차해 있던 화물차의 뒷부분을 들이받아 그 화물차가 밀리면서 그 앞에 정차해 있던 다른 화물차를 들이받도록 함으로써, 피해자에게 상해를 입게 함과 동시에 위 각 화물차를 손괴하였다는 공소사실에 대하여, 특정범죄가중처벌 등에 관한 법률 위반(위험운전치사상)죄와 각 업무상과실 재물손괴로 인한 도로교통법 위반죄는 실체적 경합관계라고 본 원심판결에 죄수관계에 관한 법리를 오해한 위법이 있다고 한 사례"
28,특정범죄가중처벌등에관한법률위반(도주차량)(인정된죄명:교통사고처리특례법위반)·도로교통법위반(음주운전)·도로교통법위반,2000노1145,2001. 11. 8.,도로교통법,제50조,"피고인이 교통사고 직후 곧바로 정차하지 아니하고 사고장소로부터 약 40여m 진행하여 멈춘 경우, 특정범죄가중처벌등에관한법률 제5조의3 제1항 소정의 도주차량죄가 성립하는지 여부(소극)"
29,"감금치사[선택적죄명:살인,인정된죄명:도로교통법위반(사고후미조치)·유기치사]",2013노2492,2014. 4. 22.,도로교통법,"제49조, 제54조, 제64조, 제148조","피고인이 승용차 조수석에 甲을 태우고 고속도로를 주행하다가 甲이 내려달라고 요구하자 감속하여 운행하던 중 甲이 문을 열고 도로로 뛰어내렸음에도 그대로 진행함으로써 도로 상에 정신을 잃고 쓰러져 있던 甲이 그 직후 후행 차량에 역과되어 사망한 사안에서, 피고인의 행위가 사고 후 미조치로 인한 도로교통법 위반죄 및 유기치사죄를 구성한다고 한 사례"
30,도로교통법위반(음주측정거부)·교통사고처리특례법위반·도로교통법위반(무면허운전),2021도14878,2022. 6. 9.,도로교통법,"제44조, 제148조의2","도로교통법 위반(음주운전)죄로 1회 이상 형사처벌을 받은 전력이 있는 피고인이 음주측정을 요구받고도 이에 응하지 않았다는 도로교통법 위반(음주측정거부)의 공소사실에 대하여, 원심이 도로교통법 제148조의2 제1항, 제44조 제2항을 적용하여 유죄를 선고하였는데, 원심판결 선고 후 헌법재판소가 도로교통법 제148조의2 제1항 중 ‘제44조 제1항을 1회 이상 위반한 사람으로서 다시 같은 조 제2항을 위반한 사람’에 관한 부분에 대하여 위헌결정을 선고한 사안에서, 위 법률조항 부분은 소급하여 효력을 상실하였으므로 해당 법조를 적용하여 기소한 피고사건은 죄가 되지 않는 경우에 해당한다고 한 사례"
31,도로교통법위반(공동위험행위)·도로교통법위반,2018도18045,2021. 10. 14.,도로교통법,"제46조, 제150조","[1] 도로교통법 제46조 제1항에서 말하는 ‘공동 위험행위’의 의미 및 이를 금지하는 취지 / 위 도로교통법 위반(공동위험행위) 범행의 구성요건으로서 행위자의 고의인 ‘공동의사’의 내용
  [2] 피고인이 범죄구성요건의 주관적 요소인 공동의사를 부인하는 경우, 이를 증명하는 방법 및 이때 무엇이 공동의사와 관련성 있는 간접사실 또는 정황사실에 해당하는지 판단하는 방법"
34,특정범죄가중처벌등에관한법률위반(도주차량)·교통사고처리특례법위반·도로교통법위반·도로교통법위반(무면허운전),2006노2898,2007. 3. 28.,도로교통법,"제50조, 제54조, 제106조, 제148조","[1] 교통사고에 있어 자신들이 피해자일 것이라는 일방적인 판단만으로 사고현장을 이탈한 경우, 도주 범의의 인정 여부(적극)
[2] 동승자가 교통사고 후 운전자와 공모하여 도주행위에 가담한 경우, 동승자를 특정범죄 가중처벌 등에 관한 법률 위반(도주차량)죄의 공동정범으로 처벌할 수 있는지 여부(소극) 및 교통사고 후 미조치의 점에 대한 도로교통법 위반죄의 공동정범으로 처벌할 수 있는지 여부(적극)"
38,특정범죄가중처벌등에관한법률위반(위험운전치사상)·도로교통법위반(음주운전),2008노577,2008. 7. 22.,도로교통법,"제44조, 제45조, 제150조","[1]           특정범죄 가중처벌 등에 관한 법률 제5조의11 규정의 성격 및 보호법익        
[2] 특정범죄 가중처벌 등에 관한 법률 위반(위험운전치사상)죄와 도로교통법 위반(음주운전)죄의 죄수관계(=흡수관계)"
45,교통사고처리특례법위반·도로교통법위반(음주운전)·도로교통법위반(무면허운전),2013도15031,2015. 6. 24.,도로교통법,"제43조, 제80조, 제93조, 제152조","연습운전면허를 받은 사람이 ‘주행연습 외의 목적으로 운전하여서는 아니된다’는 준수사항을 위반하여 운전한 경우, 도로교통법상 무면허운전이라고 보아 처벌할 수 있는지 여부(소극)"
47,특정범죄가중처벌등에관한법률위반(도주차량){인정된죄명:교통사고처리특례법위반}ㆍ도로교통법위반ㆍ도로교통법위반(음주운전),2005도4459,2007. 9. 6.,도로교통법,제50조,"[1]                     구 특정범죄 가중처벌 등에 관한 법률 제5조의3에 정한 ‘피해자를 구호하는 등                     도로교통법 제50조 제1항의 규정에 의한 조치를 취하지 아니하고 도주한 때’의 의미                
[2] 만취 운전자가 교통사고 직후 취중상태에서 사고현장으로부터 수십 미터까지 혼자 걸어가다 수색자에 의해 현장으로 붙잡혀 온 사안에서, 제반 사정상 적어도 위 운전자가 사고발생 사실과 그 현장을 이탈한다는 점을 인식하고 있었다고 보이므로 만취 등 사유만으로 도주의 범의를 부인할 수 없다고 한 사례"
52,특정범죄가중처벌등에관한법률위반(위험운전치상)·도로교통법위반(음주측정거부)·도로교통법위반,2021도16521,2022. 6. 9.,도로교통법,"제44조, 제148조의2","도로교통법 위반(음주운전)죄로 1회 이상 형사처벌을 받은 전력이 있는 피고인이 정당한 사유 없이 경찰공무원의 음주측정요구에 응하지 않았다는 도로교통법 위반(음주측정거부)의 공소사실에 대하여, 원심이 구 도로교통법 제148조의2 제1항, 제44조 제1항, 제2항을 적용하여 유죄로 인정하였는데, 원심판결 선고 후 헌법재판소가 구 도로교통법 제148조의2 제1항 중 ‘제44조 제1항을 1회 이상 위반한 사람으로서 다시 같은 조 제2항을 위반한 사람’에 관한 부분에 대하여 위헌결정을 선고한 사안에서, 위 법률조항 부분은 소급하여 효력을 상실하였으므로 해당 법조를 적용하여 기소한 피고사건은 죄가 되지 않는 경우에 해당한다고 한 사례"
54,특정범죄가중처벌등에관한법률위반(도주차량)·교통사고처리특례법위반·도로교통법위반·도로교통법위반(음주운전)·도로교통법위반(무면허운전),2002도4986,2002. 11. 26.,도로교통법,제50조,"[1] 특정범죄가중처벌등에관한법률 제5조의3 제1항 소정의 '도주'의 의미
  [2] 사고운전자인 피고인 자신이 부상을 입고 경찰관의 조치에 따라 병원으로 후송되던 도중 경찰에 신고나 연락을 취하지 아니한 채 집으로 가버렸다고 하더라도, 그 당시에 이미 경찰이나 구급차량 등에 의하여 피해자에 대한 구호조치가 이루어진 후였다면 특정범죄가중처벌등에관한법률 제5조의3 제1항에 규정된 '피해자를 구호하는 등 필요한 조치를 취하지 아니하고 도주한 때'에 해당하지 않는다고 한 사례"
55,특정범죄가중처벌등에관한법률위반(위험운전치상)·도로교통법위반(음주운전)[전동킥보드와 같은 개인형 이동장치가 구「특정범죄 가중처벌 등에 관한 법률」제5조의11 제1항의 ‘원동기장치자전거’에 해당하는지 여부가 문제된 사건],2022도13430,2023. 6. 29.,도로교통법,"제2조, 제13조의2, 제15조의2, 제17조, 제50조",구 특정범죄 가중처벌 등에 관한 법률 제5조의11 제1항에서의 ‘원동기장치자전거’에 전동킥보드와 같은 개인형 이동장치가 포함되는지 여부(적극) 및 2020. 6. 9. 법률 제17371호로 개정되어 2020. 12. 10. 시행된 도로교통법이 전동킥보드와 같은 개인형 이동장치에 관한 규정을 신설하면서 이를 ‘자동차 등’이 아닌 ‘자전거 등’으로 분류한 것이 형법 제1조 제2항의 ‘범죄 후 법률이 변경되어 그 행위가 범죄를 구성하지 아니하게 된 경우’에 해당하는지 여부(소극)
60,특정범죄가중처벌등에관한법률위반(도주차량)·도로교통법위반(음주운전)·도로교통법위반,2002도4452,2002. 10. 22.,도로교통법,"제50조, 제106조","[1] 사고 운전자가 피해자를 구호하는 등 도로교통법 제50조 제1항에 의한 조치를 취할 필요가 있었다고 인정되지 아니하는 경우, 특정범죄가중처벌등에관한법률 제5조의3 제1항 위반죄로 처벌할 수 있는지 여부(소극)
[2] 도로교통법 제50조 제1항의 취지 및 사고운전자가 취하여야 할 조치의 정도
[3] 사고 경위와 피해 정도 등에 비추어 사고운전자가 피해자를 구호하거나 도로교통법 제50조 제1항 소정의 조치를 취할 의무가 있다고 보기 어렵다고 한 사례"
61,특정범죄가중처벌등에관한법률위반(도주차량)·도로교통법위반(음주운전)·도로교통법위반,2002도4452,2002. 10. 22.,도로교통법,"제50조, 제106조","[1] 사고 운전자가 피해자를 구호하는 등           도로교통법 제50조 제1항에 의한 조치를 취할 필요가 있었다고 인정되지 아니하는 경우,           특정범죄가중처벌등에관한법률 제5조의3 제1항 위반죄로 처벌할 수 있는지 여부(소극)        
[2]           도로교통법 제50조 제1항의 취지 및 사고운전자가 취하여야 할 조치의 정도        
[3] 사고 경위와 피해 정도 등에 비추어 사고운전자가 피해자를 구호하거나           도로교통법 제50조 제1항 소정의 조치를 취할 의무가 있다고 보기 어렵다고 한 사례"
63,도로교통법위반(음주운전)·도로교통법위반(무면허운전),2012고합170,2012. 9. 14.,도로교통법,"제44조, 제148조의2","음주운전으로 인한 도로교통법 위반으로 기소유예처분과 벌금형의 약식명령을 받은 전력이 있는 피고인이 다시 술에 취한 상태로 자동차를 운전하였다고 하여           도로교통법 제148조의2 제1항 제1호 위반으로 기소된 사안에서, 위 규정 중 ‘          제44조 제1항을 2회 이상 위반한 사람’에 음주운전으로 기소유예처분 또는 소년보호처분을 받은 사람도 포함된다고 해석하는 것이 타당하다는 이유로, 피고인에게 유죄를 선고한 사례"
66,도로교통법위반(음주운전),2021도17097,2022. 2. 10.,도로교통법,"제44조, 제148조","피고인의 도로교통법 위반(음주운전) 공소사실에 대하여, 원심은 피고인이 도로교통법 제44조 제1항을 2회 이상 위반한 사람에 해당한다는 이유로 도로교통법 제148조의2 제1항, 제44조 제1항을 적용하여 유죄를 선고한 제1심판결을 유지하였는데, 헌법재판소가 2021. 11. 25. 구 도로교통법 제148조의2 제1항 중 ‘제44조 제1항을 2회 이상 위반한 사람’에 관한 부분에 대하여 위헌결정을 선고한 사안에서, 원심이 적용한 도로교통법 제148조의2 제1항 중 제44조 제1항을 2회 이상 위반한 사람에 관한 부분은 위 헌법재판소 결정의 심판대상이 되지 않았지만 그 위헌결정 이유와 마찬가지로 책임과 형벌 사이의 비례원칙에 어긋날 수 있으므로, 원심으로서는 위 법률조항 부분의 위헌 여부 또는 공소장 변경절차의 필요 유무 등에 관하여 심리·판단하였어야 한다고 한 사례"
70,도로교통법위반·도로교통법위반(음주운전),2007도4404,2007. 7. 26.,도로교통법,제44조,"[1] 음주상태로 동일한 차량을 일정기간 계속하여 운전하다가 1회 음주측정을 받은 경우 음주운전행위가 포괄일죄에 해당하는지 여부(적극)
[2] 음주상태로 자동차를 운전하다가 제1차 사고를 내고 그대로 진행하여 제2차 사고를 낸 후 음주측정을 받아 도로교통법 위반(음주운전)죄로 약식명령을 받아 확정되었는데, 이후 제1차 사고 당시의 음주운전으로 기소된 사안에서 위 공소사실은 약식명령이 확정된 도로교통법 위반(음주운전)죄와 포괄일죄 관계에 있다고 본 사례"
77,특정범죄가중처벌등에관한법률위반(도주차량){인정된죄명:교통사고처리특례법위반·도로교통법위반(음주운전)·도로교통법위반},2007도1738,2007. 10. 11.,도로교통법,"제50조, 제54조, 제106조, 제148조","[1] 사고 운전자가 교통사고 현장에서 경찰관에게 동승자가 사고차량의 운전자라고 진술하거나 그에게 같은 내용의 허위신고를 하도록 하였더라도, 사고 직후 피해자가 병원으로 후송될 때까지 사고장소를 이탈하지 아니한 채 경찰관에게 위 차량이 가해차량임을 밝히고 경찰관의 요구에 따라 동승자와 함께 조사를 받기 위해 경찰 지구대로 동행한 경우, 구 특정범죄 가중처벌 등에 관한 법률 제5조의3의 ‘도주’에 해당하지 않는다고 한 사례
[2] 사고 운전자가 사고로 손괴된 피해자의 오토바이에 대한 조치를 직접 취하지 않았더라도 사고현장을 떠나기 전에 이미 구조대원 등 다른 사람이 위 오토바이를 치워 교통상 위해가 될 만한 다른 사정이 없었던 경우, 구 도로교통법 제106조 위반죄로 처벌할 수 없다고 한 사례"
79,자동차운전면허취소처분취소,95구31296,1996. 3. 26.,도로교통법,"제68조, 제78조","[1]           도로교통법시행규칙 제53조 제1항 [별표 16] 운전면허행정처분기준의 법적 성질(사무처리준칙)        
  [2] 한 사람이 여러 종류의 자동차 운전면허를 취득한 경우, 이를 취소·정지함에 있어 서로 별개의 것으로 취급할 수 있는지 여부
  [3] 제1종 대형·보통·특수면허와 제2종 소형면허를 가지고 있는 자가 승용차를 음주운전한 행위는 위 각 면허에 공통된 취소사유가 되는지 여부(적극)"
83,특정범죄가중처벌등에관한법률위반(도주차량)(인정된죄명:도로교통법위반)·도로교통법위반,2001도5369,2002. 1. 11.,도로교통법,제50조,"사고 운전자가 피해자가 사상을 당한 사실을 인식하고도 구호조치를 취하지 않은 채 사고현장을 이탈하면서 피해자에게 자신의 신원을 확인할 수 있는 자료를 제공하여 준 경우, 특정범죄가중처벌등에관한법률 제5조의3 제1항 소정의 '도주한 때'에 해당하는지 여부(적극)"
87,특정범죄가중처벌등에관한법률위반(도주차량)·도로교통법위반·도로교통법위반(음주측정거부),2009도787,2009. 5. 14.,도로교통법,"제54조, 제148조","[1] 도로교통법 제54조 제1항의 취지 및 사고운전자가 취하여야 할 조치의 정도
[2] 교통사고로 인한 피해차량의 물적 피해가 경미하고, 파편이 도로상에 비산되지도 않았다고 하더라도, 가해차량이 즉시 정차하는 등 필요한 조치를 취하지 아니한 채 그대로 도주한 경우에는 도로교통법 제54조 제1항 위반죄가 성립한다고 한 사례"
89,특정범죄가중처벌등에관한법률위반(도주차량)·도로교통법위반·도로교통법위반(음주운전),2001도2869,2002. 1. 11.,도로교통법,제50조,"[1] 특정범죄가중처벌등에관한법률 제5조의3 제1항 소정의 '도주'의 의미
[2] 사고 운전자가 피해자를 구호하는 등 도로교통법 제50조 제1항에 의한 조치를 취할 필요가 있었다고 인정되지 아니하는 경우, 특정범죄가중처벌등에관한법률 제5조의3 제1항 위반죄로 처벌할 수 있는지 여부(소극)
[3] 피해자의 상해의 정도가 경미하여 사고 운전자가 실제로 피해자를 구호하는 등의 조치를 취하여야 할 필요가 있었다고 보기 어렵다고 한 사례"
95,도로교통법위반(음주측정거부),2022도3075,2022. 6. 30.,도로교통법,"제44조, 제148조의2","도로교통법 위반(음주측정거부)죄로 1회, 도로교통법 위반(음주운전)죄로 2회 형사처벌을 받은 전력이 있는 피고인이 음주측정요구에 불응하였다는 공소사실에 대하여, 원심이 도로교통법 제148조의2 제1항, 제44조 제1항, 제2항을 적용하여 유죄를 선고하였는데, 원심판결 선고 후 헌법재판소가 도로교통법 제148조의2 제1항 중 ‘제44조 제1항을 1회 이상 위반한 사람으로서 다시 같은 조 제2항을 위반한 사람’에 관한 부분에 대하여 위헌결정을 선고한 사안에서, 위 법률조항 부분은 소급하여 효력을 상실하였으므로 해당 법조를 적용하여 기소한 피고사건은 죄가 되지 않는 경우에 해당한다고 한 사례"
